Model name;BV general concepts;BV verb concepts;BV unary concepts;MV general concepts;MV verb concepts;MV unary concepts;Obligation rules;Permission rules;Structural rules;Strict transformation;
Case 4;6;0;0;29;20;0;0;0;0;true;
Case 3;3;0;0;17;13;0;0;0;0;true;
Case 2;11;0;0;59;69;0;0;0;0;true;
Case 10;3;0;0;46;40;0;0;0;0;true;
Case 9;4;0;0;49;47;0;0;0;0;true;
Case 8;9;0;0;40;35;0;0;0;0;true;
Case 5;10;0;0;49;54;0;0;0;0;true;
Case 1;8;0;0;24;31;0;0;0;0;true;
Case 6;11;0;0;49;40;0;0;0;0;true;
Case 7;5;0;0;30;26;0;0;0;0;true;
Case 2;52;48;3;59;69;0;19;12;0;false;
Case 5;37;34;2;49;54;0;0;9;0;false;
Case 6;42;32;3;49;40;0;0;5;0;false;
Case 1;22;26;0;24;31;0;10;0;0;false;
Case 4;19;9;2;29;20;0;4;5;0;false;
Case 3;9;8;2;17;13;0;0;1;0;false;
Case 9;33;27;3;49;47;0;17;7;0;false;
Case 8;30;28;3;40;35;0;1;3;0;false;
Case 10;39;7;0;46;40;0;9;20;0;false;
Case 7;22;10;2;30;26;0;7;11;0;false;
